text,label
"Free money now!!!",spam
"Hi, are we still meeting today?",ham
"Earn cash fast",spam
"Important update on your account",ham
"Cheap meds available here",spam
"Let's catch up for lunch",ham
"Win a free iPhone",spam
"Your invoice is attached",ham
"Congratulations, you won!",spam
"Can we schedule a meeting?",ham
"Limited time offer",spam
"Don't forget our appointment",ham
"Get paid to work from home",spam
"Project deadline is next week",ham
"Exclusive deal just for you",spam
"Looking forward to our trip",ham
"Act now and save big",spam
"Please review the attached document",ham
"Lowest prices guaranteed",spam
"Happy birthday! Hope you have a great day",ham
"Special promotion inside",spam
"Let's discuss the quarterly report",ham
"Claim your prize today",spam
"Team meeting rescheduled to Friday",ham
"Unlock your potential with this offer",spam
"Don't forget to submit your timesheet",ham
"Get rich quick scheme",spam
"Can you send me the presentation slides?",ham
"Free vacation awaits you",spam
"Looking forward to our collaboration",ham
"Act fast, limited spots available",spam
"Please find the minutes from our last meeting attached",ham
"Win big with this opportunity",spam
"Let's finalize the budget proposal",ham
"Special discount just for you",spam
"Thank you for your support",ham
"Earn money while you sleep",spam
"Reminder: Team lunch tomorrow",ham
"Congratulations! You've been selected",spam
